year,Waarde,Fruit,Code
2018,2.658,Olieprijs 51 dollar per vat,1
2019,5.395,Olieprijs 51 dollar per vat,1
2020,8.194,Olieprijs 51 dollar per vat,1
2021,10.996,Olieprijs 51 dollar per vat,1
2022,13.797,Olieprijs 51 dollar per vat,1
2023,16.599,Olieprijs 51 dollar per vat,1
2024,19.401,Olieprijs 51 dollar per vat,1
2025,22.202,Olieprijs 51 dollar per vat,1
2026,25.004,Olieprijs 51 dollar per vat,1
2027,27.805,Olieprijs 51 dollar per vat,1
2028,30.607,Olieprijs 51 dollar per vat,1
2029,33.408,Olieprijs 51 dollar per vat,1
2030,36.21,Olieprijs 51 dollar per vat,1
2031,39.012,Olieprijs 51 dollar per vat,1
2032,41.813,Olieprijs 51 dollar per vat,1
2033,44.615,Olieprijs 51 dollar per vat,1
2034,44.869,Olieprijs 51 dollar per vat,1
2035,42.876,Olieprijs 51 dollar per vat,1
2036,40.817,Olieprijs 51 dollar per vat,1
2037,38.755,Olieprijs 51 dollar per vat,1
2038,36.693,Olieprijs 51 dollar per vat,1
2039,34.631,Olieprijs 51 dollar per vat,1
2040,32.569,Olieprijs 51 dollar per vat,1
2041,30.507,Olieprijs 51 dollar per vat,1
2042,28.446,Olieprijs 51 dollar per vat,1
2043,26.384,Olieprijs 51 dollar per vat,1
2044,24.322,Olieprijs 51 dollar per vat,1
2045,22.26,Olieprijs 51 dollar per vat,1
2046,20.198,Olieprijs 51 dollar per vat,1
2047,18.136,Olieprijs 51 dollar per vat,1
2048,16.074,Olieprijs 51 dollar per vat,1
2049,14.013,Olieprijs 51 dollar per vat,1
2050,11.951,Olieprijs 51 dollar per vat,1
2051,9.889,Olieprijs 51 dollar per vat,1
2052,7.827,Olieprijs 51 dollar per vat,1
2053,5.765,Olieprijs 51 dollar per vat,1
2054,3.703,Olieprijs 51 dollar per vat,1
2055,1.641,Olieprijs 51 dollar per vat,1
2056,0,Olieprijs 51 dollar per vat,1
2018,4.58,Olieprijs 51 dollar per vat,2
2019,4.58,Olieprijs 51 dollar per vat,2
2020,4.58,Olieprijs 51 dollar per vat,2
2021,4.58,Olieprijs 51 dollar per vat,2
2022,4.58,Olieprijs 51 dollar per vat,2
2023,4.58,Olieprijs 51 dollar per vat,2
2024,4.58,Olieprijs 51 dollar per vat,2
2025,4.58,Olieprijs 51 dollar per vat,2
2026,4.58,Olieprijs 51 dollar per vat,2
2027,4.58,Olieprijs 51 dollar per vat,2
2028,4.58,Olieprijs 51 dollar per vat,2
