Year,Marketvalue
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0.238
1996,5.752
1997,13.646
1998,20.673
1999,26.762
2000,47.664
2001,76.939
2002,80.534
2003,105.835
2004,120.826
2005,173.604
2006,221.438
2007,251.830
2008,277.343
2009,302.686
2010,384.785
2011,424.492
2012,511.679
2013,645.229
2014,769.818
2015,833.329
2016,808.394
