Jaar,Aardgasbaten,Rendement
1969,190,0
1970,460,25.76
1971,870,74.48
1972,1420,154
1973,2190,276.64
1974,3460,470.4
1975,5820,796.32
1976,9180,1310.4
1977,13130,2045.68
1978,17080,3002.16
1979,21530,4207.84
1980,27800,5764.64
1981,36470,7806.96
1982,45270,10342.08
1983,53940,13362.72
1984,63880,16940
1985,75000,21140
1986,82310,25749.36
1987,86400,30587.76
1988,89260,35586.32
1989,92220,40750.64
1990,95790,46114.88
1991,100680,51752.96
1992,104740,57618.4
1993,108520,63695.52
1994,111770,69954.64
1995,115540,76424.88
1996,119900,83139.28
1997,124210,90095.04
1998,127660,97244
1999,130270,104539.12
2000,134760,112085.68
2001,141110,119987.84
2002,146392,128185.792
2003,152372,136718.624
2004,159053,145625.592
2005,166632,154956.984
2006,177242,164882.536
2007,187004,175354.76
2008,202075,186670.96
2009,212473,198569.448
2010,223143,211065.456
2011,235084,224230.16
2012,249670,238211.68
2013,265042,253054.032
2014,275429,268478.056
2015,280691,284196.752
2016,283054,300047.776
