Year,Marketvalue
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0.2384
1996,5.7520
1997,13.6460
1998,20.6736
1999,26.7626
2000,47.6643
2001,76.9393
2002,80.5349
2003,105.8359
2004,120.8266
2005,173.6041
2006,221.4383
2007,251.8309
2008,277.3438
2009,302.6866
2010,384.7854
2011,424.4925
2012,511.679867280317
2013,645.229039404766
2014,769.818277587569
2015,833.3296
2016,808.394062368809
